ID,Name,Price
1813150,Jack Move: I.C.E Breaker,Free To Play
1928640,无尽大陆,Free To Play
1599340,Lost Ark,Free To Play
238960,Path of Exile,Free to Play
386360,SMITE®,Free to Play
1286830,STAR WARS™: The Old Republic™,Free To Play
1343400,RuneScape ®,Free To Play
990080,Hogwarts Legacy,Not Released
1928980,Nightingale,Not Released
1716740,Starfield,Not Released
1931010,Spirittea,Not Released
1731070,Asterigos: Curse of the Stars,Not Released
1623730,Palworld,Not Released
1187640,Totemic,Not Released
1658280,Eiyuden Chronicle: Hundred Heroes,Not Released
1608450,Hellslave,Not Released
1158160,Coral Island,Not Released
1409830,Sons of Valhalla,Not Released
1506440,Batora: Lost Haven,Not Released
1145290,Out There: Oceans of Time,Not Released
1627720,Lies Of P,Not Released
1866320,Baladins,Not Released
1768470,The Heroes Around Me,Not Released
1284210,Guild Wars 2,Free To Play
1469620,Epic Battle Fantasy Collection,Not Released
1920780,Stray Gods: The Roleplaying Musical,Not Released
1832640,Mirror 2: Project X,"1,59€"
302510,Ryse: Son of Rome,"2,49€"
15170,Heroes of Might &amp; Magic V,"2,49€"
42910,Magicka,"2,49€"
238010,Deus Ex: Human Revolution - Director's Cut,"2,99€"
274520,Darkwood,"4,19€"
238370,Magicka 2,"3,74€"
237430,Expeditions: Conquistador,"3,99€"
582660,Black Desert,"4,99€"
228280,Baldur's Gate: Enhanced Edition,"4,79€"
537110,Angels of Death,"5,99€"
1723260,真探,"7,37€"
1815010,Maid Knight Alicia,"7,39€"
49520,Borderlands 2,"7,49€"
362960,Tyranny,"7,49€"
1546010,Fallen girl - Black rose and the fire of desire,"7,49€"
526160,The Wild Eight,"7,49€"
1879380,Paper Bride 2 Zangling Village,"8,19€"
399810,Call of Cthulhu®,"7,99€"
1196630,Nexomon: Extinction,"8,99€"
39210,FINAL FANTASY XIV Online,"9,99€"
205100,Dishonored,"9,99€"
637090,BATTLETECH,"9,99€"
1342060,The Dead End,"12,49€"
233860,Kenshi,"12,14€"
204360,Castle Crashers®,"11,99€"
1227890,Summer Memories,"12,59€"
1770400,Re:BF,"13,43€"
1483370,The Use of Life,"14,99€"
1658290,Eiyuden Chronicle: Rising,"14,99€"
1135230,Ember Knights,"14,99€"
1515320,Harvest Days: My Dream Farm,"14,99€"
22330,The Elder Scrolls IV: Oblivion® Game of the Year Edition,"14,99€"
1786790,Magical Girl Celesphonia,"16,79€"
1578650,Citizen Sleeper,"16,79€"
1504570,Cultivation Tales,"16,79€"
1218210,Coromon,"16,79€"
1948290,Before The Last Hour,"17,49€"
892970,Valheim,"16,79€"
1217060,Gunfire Reborn,"16,79€"
1173820,FINAL FANTASY VI,"17,99€"
306130,The Elder Scrolls® Online,"19,99€"
377160,Fallout 4,"19,99€"
578650,The Outer Worlds,"19,79€"
48700,Mount &amp; Blade: Warband,"19,99€"
638970,Yakuza 0,"19,99€"
1253920,Rogue Legacy 2,"21,99€"
780290,Gloomhaven,"26,24€"
1527950,Wartales,"27,99€"
582010,Monster Hunter: World,"29,99€"
292030,The Witcher® 3: Wild Hunt,"29,99€"
213670,South Park™: The Stick of Truth™,"29,99€"
379430,Kingdom Come: Deliverance,"29,99€"
794260,Outward Definitive Edition,"39,99€"
831050,Dolmen,"39,99€"
489830,The Elder Scrolls V: Skyrim Special Edition,"39,99€"
1063730,New World,"39,99€"
440900,Conan Exiles,"39,99€"
1754000,The Elder Scrolls Online: High Isle,"39,99€"
1593500,God of War,"49,99€"
261550,Mount &amp; Blade II: Bannerlord,"49,99€"
1621310,Atelier Sophie 2: The Alchemist of the Mysterious Dream,"59,99€"
534380,Dying Light 2 Stay Human,"59,99€"
374320,DARK SOULS™ III,"59,99€"
812140,Assassin's Creed® Odyssey,"59,99€"
